"Comune","Concentrazione ioni idrogeno (pH) (limite: 6,5-9,5)","Residuo fisso (da calcolo)","Durezza totale","Conducibilità elettrica a 20°C (limite: 2500)","Calcio","Magnesio","Ammonio (limite: 0,5)","Cloruro (limite: 250)","Solfato (limite: 250)","Potassio","Sodio (limite: 200)","Arsenico (limite: 10)","Bicarbonato","Cloro residuo libero","Fluoruri (limite: 1,5)","Nitrato (limite: 50)","Nitrito (limite: 0,5)","Manganese (limite: 50)"
osio sotto,"7,9",162,13,242,39,8,"< 0,1",2,9,"< 0,5","1,0",< 1,146,"< 0,10","< 0,05",4,"< 0,05",< 5
paladina,"7,9",232,21,340,50,20,"< 0,1",2,24,"< 0,5","1,3",< 1,180,"0,16","< 0,05",5,"< 0,05",< 5
palazzago,"7,9",285,24,441,74,15,"< 0,1",6,18,"1,3","4,0",1,305,"< 0,10","0,08",5,"< 0,05",< 5
palosco,"7,8",312,25,438,70,17,"< 0,1",22,27,"0,7","6,5",< 1,238,"< 0,10","0,07",16,"< 0,05",< 5
parre,"8,1",165,14,227,50,3,"< 0,1",< 2,< 3,"< 0,5","0,8",< 1,182,"0,10","< 0,05",2,"< 0,05",< 5
parzanica,"7,9",272,23,384,73,13,"< 0,1",2,7,"< 0,5","1,3",< 1,278,"< 0,10","0,35",12,"< 0,05",< 5
pedrengo,"7,9",229,19,305,50,16,"< 0,1",6,23,"0,8","2,5",< 1,218,"0,13","0,06",4,"< 0,05",< 5
peia,"7,9",251,21,355,79,4,"< 0,1",3,5,"< 0,5","1,2",< 1,257,"0,12","0,21",8,"< 0,05",< 5
pianico,"7,7",269,25,373,51,29,"< 0,1",< 2,9,"< 0,5","0,8",< 1,294,"< 0,10","0,05",8,"< 0,05",< 5
piario,"8,1",148,12,208,43,4,"< 0,1",< 2,10,"< 0,5","0,7",< 1,128,"0,10","< 0,05",7,"< 0,05",< 5
piazza brembana,"8,1",181,15,251,33,17,"< 0,1",5,9,"< 0,5","< 0,5",n.d.,n.d.,"< 0,10","< 0,05",5,"< 0,05",n.d.
piazzolo,"7,8",61,6,116,14,5,"< 0,1",< 2,< 3,"< 0,5","0,8",< 1,23,"< 0,10","< 0,05",6,"< 0,05",6
pognano,"7,9",209,17,269,49,13,"< 0,1",5,17,"0,6","2,4",< 1,221,"< 0,10","< 0,05",6,"< 0,05",< 5
ponteranica,"8,1",256,22,350,52,22,"< 0,1",2,32,"< 0,5","1,3",< 1,235,"< 0,10","0,05",6,"< 0,05",< 5
ponte nossa,"8,0",155,13,220,39,8,"< 0,1",< 2,8,"< 0,5","0,7",< 1,141,"0,25","< 0,05",3,"< 0,05",< 5
ponte san pietro,"7,5",307,25,463,75,16,"< 0,1",9,24,"1,3","6,1",< 1,257,"< 0,10","0,09",14,"< 0,05",< 5
pontida,"7,8",326,27,466,72,21,"< 0,1",6,22,"1,6","4,0",< 1,309,"< 0,10","0,09",6,"< 0,05",< 5
pradalunga,"7,9",229,19,326,51,14,"< 0,1",6,19,"1,2","3,0",< 1,205,"0,16","0,08",5,"< 0,05",< 5
predore,"7,7",339,29,457,102,8,"< 0,1",3,18,"0,9","2,4",< 1,290,"0,13","0,16",16,"< 0,05",< 5
premolo,"8,1",161,14,216,43,7,"< 0,1",< 2,6,"< 0,5","0,7",< 1,163,"< 0,10","< 0,05",< 2,"< 0,05",< 5
presezzo,"7,7",269,21,385,62,14,"< 0,1",5,13,"1,0","4,6",< 1,256,"< 0,10","0,06",13,"< 0,05",< 5
pumenengo,"7,5",297,25,408,78,13,"< 0,1",7,28,"0,9","4,7",< 1,248,"< 0,10","0,10",14,"< 0,05",< 5
ranica,"7,8",218,18,321,51,12,"< 0,1",6,17,"1,2","2,8",< 1,205,"0,15","0,06",5,"< 0,05",< 5
ranzanico,"7,9",268,23,382,55,23,"< 0,1",2,7,"0,6","1,2",< 1,268,"< 0,10","0,18",8,"< 0,05",< 5
riva di solto,"7,9",265,23,374,55,23,"< 0,1",3,8,"0,6","1,3",< 1,273,"0,14","0,15",8,"< 0,05",< 5
rogno,"8,0",298,26,520,66,37,"< 0,1",5,90,"0,9","3,0",< 1,210,"< 0,10","0,09",8,"< 0,05",< 5
romano di lombardia,"7,7",315,24,426,67,18,"< 0,1",21,27,"0,6","5,0",< 1,232,"0,14","0,06",14,"< 0,05",< 5
roncola,"8,0",165,14,215,51,2,"< 0,1",4,4,"< 0,5","1,6",< 1,145,"< 0,10","< 0,05",6,"< 0,05",< 5
rovetta,"8,0",207,17,315,54,7,"< 0,1",< 2,41,"< 0,5","1,1",< 1,150,"< 0,10","< 0,05",6,"< 0,05",< 5
santomobono terme,"8,0",175,15,238,48,8,"< 0,1",< 2,4,"0,5","1,1",< 1,156,"< 0,10","0,06",7,"< 0,05",< 5
san giovanni bianco,"8,1",223,20,305,41,24,"< 0,1",2,4,"< 0,5","1,0",< 1,226,"0,12","0,07",8,"< 0,05",< 5
san paolo dargon,"8,1",274,24,391,59,23,"< 0,1",3,8,"0,6","1,8",< 1,271,"< 0,10","0,17",9,"< 0,05",< 5
san pellegrino terme,"7,7",275,23,405,86,4,"< 0,1",3,4,"0,9","2,1",n.d.,n.d.,"0,19","< 0,05",4,"< 0,05",n.d.
sarnico,"7,7",397,30,555,91,18,"< 0,1",23,39,"2,2","18,0",3,323,"< 0,10","0,44",15,"< 0,05",< 5
scanzorosciate,"8,1",276,24,394,53,27,"< 0,1",< 2,23,"< 0,5","0,7",< 1,277,"< 0,10","0,06",5,"< 0,05",< 5
schilpario,"7,6",42,3,65,9,3,"< 0,1",< 2,5,"< 0,5","0,6",< 1,28,"< 0,10","< 0,05",2,"< 0,05",< 5
sedrina,"7,9",254,22,349,51,23,"< 0,1",2,31,"< 0,5","1,3",< 1,239,"0,18","0,05",6,"< 0,05",< 5
selvino,"7,8",253,21,369,63,12,"< 0,1",5,34,"0,8","2,8",< 1,213,"< 0,10","0,09",5,"< 0,05",< 5
seriate,"7,9",235,18,289,52,12,"< 0,1",8,19,"1,2","7,7",< 1,183,"0,11","0,06",8,"< 0,05",< 5
serina,"7,9",243,19,347,64,8,"< 0,1",< 2,85,"0,8","1,4",n.d.,n.d.,"0,16","< 0,05",9,"< 0,05",n.d.
solto collina,"7,9",225,20,312,42,23,"< 0,1",< 2,4,"< 0,5","1,0",< 1,229,"0,17","< 0,05",7,"< 0,05",< 5
solza,"7,8",223,17,315,51,12,"< 0,1",5,24,"1,5","4,5",< 1,198,"< 0,10","0,10",6,"< 0,05",< 5
songavazzo,"8,2",211,18,312,55,10,"< 0,1",< 2,42,"< 0,5","0,8",< 1,148,"< 0,10","0,05",5,"< 0,05",< 5
sorisole,"7,9",246,21,341,58,15,"< 0,1",< 2,20,"< 0,5","1,6",< 1,240,"0,20","0,06",7,"< 0,05",< 5
sotto il monte giovanni xxiii,"7,9",167,14,239,41,10,"< 0,1",< 2,14,"< 0,5","1,2",< 1,146,"< 0,10","< 0,05",4,"< 0,05",< 5
sovere,"8,0",247,22,353,54,21,"< 0,1",< 2,4,"< 0,5","0,8",< 1,251,"< 0,10","0,09",7,"< 0,05",< 5
spinone al lago,"7,8",372,30,582,72,28,"< 0,1",4,63,"0,8","6,8",< 1,277,"0,13","0,27",5,"< 0,05",< 5
spirano,"7,6",301,25,437,65,21,"< 0,1",12,24,"0,7","4,3",< 1,230,"< 0,10","< 0,05",19,"< 0,05",< 5
stezzano,"7,9",208,17,298,46,13,"< 0,1",4,18,"0,7","2,1",< 1,189,"0,11","0,27",4,"< 0,05",< 5
strozza,"8,1",173,15,245,49,6,"< 0,1",< 2,5,"0,5","0,9",< 1,162,"< 0,10","0,07",7,"< 0,05",< 5
suisio,"7,8",274,23,293,65,17,"< 0,1",7,18,"1,2","5,6",< 1,198,"< 0,10","0,08",12,"< 0,05",< 5
taleggio,"8,2",175,11,249,24,12,"< 0,1",< 2,< 3,"< 0,5","1,1",< 1,175,"0,12","< 0,05",7,"< 0,05",< 5
tavernola bergamasca,"8,0",273,21,385,74,7,"< 0,1",7,10,"2,2","4,7",< 1,253,"< 0,10","0,07",16,"< 0,05",< 5
telgate,"7,7",286,24,411,68,17,"< 0,1",4,11,"0,7","2,4",< 1,261,"< 0,10","0,34",16,"< 0,05",< 5
terno disola,"7,8",179,15,263,44,10,"< 0,1",2,11,"0,6","2,1",< 1,152,"< 0,10","< 0,05",6,"< 0,05",< 5
torre boldone,"7,8",220,18,324,49,14,"< 0,1",6,19,"1,4","3,1",< 1,195,"0,18","0,06",5,"< 0,05",< 5
torre de busi,"7,9",215,18,330,43,18,"< 0,1",4,5,"0,6","2,7",2,197,"< 0,10","< 0,05",5,"< 0,05",< 5
torre de roveri,"8,1",232,19,338,50,17,"< 0,1",3,23,"< 0,5","2,0",n.d.,n.d.,"< 0,10","0,06",5,"< 0,05",n.d.
torre pallavicina,"7,6",278,23,351,75,11,"< 0,1",4,20,"1,0","5,1",< 1,268,"< 0,10","0,10",14,"< 0,05",< 5
trescore balneario,"8,0",226,19,315,55,14,"< 0,1",< 2,7,"< 0,5","1,0",< 1,224,"< 0,10","0,56",5,"< 0,05",< 5
treviolo,"7,7",268,22,383,61,17,"< 0,1",7,25,"1,2","4,2",< 1,255,"< 0,10","0,08",10,"< 0,05",< 5
ubiale clanezzo,"8,0",264,23,358,83,5,"< 0,1",3,7,"0,5","2,0",< 1,252,"< 0,10","0,08",11,"< 0,05",< 5
urgnano,"7,8",256,21,362,58,17,"< 0,1",8,20,"0,6","3,8",< 1,226,"< 0,10","< 0,05",11,"< 0,05",< 5
valbondione,"8,0",114,9,169,21,10,"< 0,1",< 2,11,"< 0,5","0,9",< 1,125,"0,11","< 0,05",3,"< 0,05",< 5
valbrembo,"7,9",230,20,337,50,19,"< 0,1",2,24,"< 0,5","1,3",< 1,177,"0,14","< 0,05",5,"< 0,05",< 5
valgoglio,"7,6",62,5,89,11,6,"< 0,1",< 2,3,"< 0,5","1,0",< 1,58,"0,10","< 0,05",2,"< 0,05",< 5
valleve,"8,0",218,18,298,48,13,"< 0,1",5,6,"0,6","3,7",< 1,238,"0,11","< 0,05",4,"< 0,05",< 5
valnegra,"7,5",75,6,99,16,5,"< 0,1",4,6,"0,7","1,4",< 1,62,"0,12","0,08",9,"< 0,05",< 5
valtorta,"7,8",63,5,83,10,6,"< 0,1",< 2,4,"< 0,5","1,7",< 1,59,"< 0,10","< 0,05",2,"< 0,05",< 5
val brembilla,"8,1",214,18,306,64,4,"< 0,1",< 2,4,"< 0,5","0,8",< 1,225,"< 0,10","< 0,05",3,"< 0,05",< 5
verdellino,"7,4",226,18,331,48,16,"< 0,1",6,24,"0,6","2,9",< 1,211,"< 0,10","0,06",7,"< 0,05",< 5
verdello,"7,9",241,19,308,48,18,"< 0,1",4,17,"0,7","5,1",1,190,"< 0,10","0,06",6,"< 0,05",< 5
vertova,"8,0",206,19,298,39,21,"< 0,1",< 2,3,"< 0,5","< 0,5",< 1,214,"< 0,10","0,12",6,"< 0,05",< 5
viadanica,"7,3",376,31,537,117,4,"< 0,1",7,11,"1,0","2,9",< 1,359,"0,22","0,08",12,"< 0,05",< 5
vigano san martino,"7,9",271,24,386,57,23,"< 0,1",2,8,"0,6","1,3",< 1,274,"< 0,10","0,18",8,"< 0,05",< 5
vigolo,"8,1",264,21,381,76,5,"< 0,1",6,7,"1,9","3,3",< 1,271,"0,11","0,07",11,"< 0,05",< 5
villa dadda,"7,7",340,34,588,90,28,"< 0,1",10,44,"3,2","7,9",2,366,"< 0,10","0,13",6,"< 0,05",< 5
villa dalm,"8,0",259,23,346,54,23,"< 0,1",2,33,"< 0,5","1,4",< 1,220,"0,14","< 0,05",6,"< 0,05",< 5
villa di serio,"7,9",231,15,326,50,19,"< 0,1",< 2,25,"< 0,5","0,8",< 1,218,"0,10","0,06",4,"< 0,05",< 5
villa dogna,"8,1",168,14,227,50,4,"< 0,1",3,15,"< 0,5","0,7",< 1,159,"< 0,10","0,06",7,"< 0,05",< 5
villongo,"7,4",376,29,524,97,12,"< 0,1",23,28,"1,8","12,6",< 1,276,"0,14","0,10",23,"< 0,05",< 5
vilminore di scalve,"8,2",112,10,157,23,10,"< 0,1",< 2,< 3,"< 0,5","< 0,5",< 1,115,"0,15","< 0,05",2,"< 0,05",< 5
zandobbio,"7,9",262,23,370,53,22,"< 0,1",2,8,"0,6","1,3",< 1,270,"< 0,10","0,17",8,"< 0,05",< 5
zanica,"7,7",287,22,347,67,14,"< 0,1",11,19,"0,7","5,9",< 1,215,"< 0,10","0,07",12,"< 0,05",< 5
zogno,"8,0",251,21,354,65,12,"< 0,1",3,14,"< 0,5","1,6",< 1,255,"0,13","< 0,05",5,"< 0,05",< 5
